R_fighter,B_fighter,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance,B_Stance,BR_Stance,Win
Rafael Dos Anjos,Kamaru Usman,1104.429688,23,1,8,0,8,8,0,182.88,193.04,170,1268.541744,69,4,0,2,5,17,8,172.72,177.8,155,31,34,1,2,1,0
Tim Means,Ricky Rainey,552,2,0,0,1,0,0,1,185.42,195.58,170,836.4394226,40,0,2,0,4,9,8,187.96,190.5,170,35,34,0,2,2,2
Song Kenan,Alex Morono,689.25,15,0,2,0,2,3,3,180.34,182.88,170,300,3,0,2,0,2,2,0,182.88,180.34,170,28,28,0,0,0,0
Li Jingliang,David Zawada,900,3,0,0,1,0,0,1,182.88,190.5,170,783.8554688,23,0,1,0,4,7,3,182.88,180.34,170,28,30,0,0,0,2
Michel Prazeres,Bartosz Fabinski,900,9,0,3,0,3,3,0,182.88,190.5,170,823.375,31,0,0,1,7,9,2,167.64,170.18,170,32,37,0,0,0,2
Neil Magny,Santiago Ponzinibbio,660.59375,21,0,0,1,6,8,2,182.88,185.42,170,480.2082405,48,0,1,0,7,14,5,190.5,203.2,170,32,31,0,0,0,0
Donald Cerrone,Mike Perry,826.484375,19,0,2,0,2,5,3,177.8,180.34,170,941.7108723,60,1,4,0,8,20,8,185.42,185.42,155,27,35,0,0,0,2
Lyman Good,Ben Saunders,448.2849731,32,0,3,0,3,9,7,187.96,195.58,170,708.5,5,0,1,0,1,1,1,182.88,187.96,170,35,33,0,0,0,2
Nordine Taleb,Sean Strickland,556.4570313,23,0,2,0,3,6,3,185.42,193.04,185,353.984375,21,0,3,0,3,6,3,185.42,187.96,170,27,37,0,0,0,0
Alex Garcia,Court McGee,859.5415039,36,1,3,0,3,7,6,180.34,190.5,170,753.1835938,22,0,2,0,2,5,4,175.26,182.88,170,33,31,0,0,0,0
Ryan LaFlare,Anthony Rocco Martin,882.7421875,23,0,0,2,3,5,4,182.88,185.42,170,796.25,28,0,4,0,4,7,2,185.42,187.96,170,28,35,1,0,-1,0
Alex Oliveira,Carlo Pedersoli Jr.,900,3,0,1,0,1,1,0,180.34,190.5,170,538.4672852,27,0,0,1,3,8,4,180.34,193.04,170,25,30,0,1,1,2
Sergio Moraes,Ben Saunders,314.5699463,30,0,3,0,3,9,6,187.96,195.58,170,711.4921875,26,1,0,1,4,7,3,182.88,182.88,170,35,36,0,0,0,2
Abdul Razak Alhassan,Niko Price,426.9375,10,0,1,0,2,4,2,182.88,193.04,170,297.875,6,0,1,0,2,3,1,177.8,185.42,170,28,33,0,0,0,2
Geoff Neal,Frank Camacho,900,9,0,0,1,1,1,2,177.8,185.42,170,168,1,0,1,0,1,1,0,180.34,190.5,170,29,28,1,0,-1,2
Tyron Woodley,Darren Till,1024.28125,17,0,1,0,4,5,1,182.88,187.96,185,1359.957031,30,4,1,0,3,8,3,175.26,187.96,170,25,36,0,1,1,2
Diego Sanchez,Craig White,272,1,0,0,1,0,0,1,187.96,193.04,170,310.6373599,70,2,6,0,6,16,11,177.8,182.88,170,28,36,1,0,-1,2
James Krause,Warlley Alves,716.9609375,20,1,4,0,4,6,2,180.34,182.88,170,841.8320313,21,0,1,0,4,6,3,187.96,185.42,170,27,32,0,0,0,2
Jake Ellenberger,Bryan Barberena,713.0625,18,0,1,0,2,4,3,182.88,182.88,170,227.1618652,40,0,0,1,6,10,10,175.26,180.34,170,29,33,0,1,1,0
Mickey Gall,George Sullivan,546.28125,14,0,2,0,2,3,3,182.88,185.42,170,572.375,7,0,3,0,3,3,1,187.96,187.96,170,37,26,2,0,-2,2
